project_id,line_of_business,region,country_code,forecast_cost,estimated_sell_price,change_order_cost,change_order_sell_price,final_cost,final_sell_price,estimated_duration_days,delays_days,final_duration_days,tier,risks_registered,risks_prevented,estimated_margin,final_margin,final_margin_pct,change_order_profit,delay_ratio,risk_mitigation_rate,high_delay_flag,low_margin_flag,risk_management_issue
PRJ-0001,SERVICE,ASIA,JP,1212698.0,1574309.61,297629.43,393952.99,1510327.43,1968262.6,484.0,86,570.0,TIER 3,6,6,361611.6100000001,457935.17000000016,0.23265959023963578,96323.56,0.17768595041322313,1.0,False,False,False
PRJ-0002,INSTALL,EUROPE,DE,2170699.0,1342527.42,12281.61,15101.71,2182980.61,1357629.13,769.0,33,802.0,TIER 3,5,0,-828171.5800000001,-825351.48,-0.6079358948345488,2820.0999999999985,0.04291287386215865,0.0,False,True,True
PRJ-0003,SERVICE,AFRICA,ZA,3986668.0,5325972.32,369266.23,405406.68,4355934.23,5731379.0,416.0,50,466.0,TIER 3,2,2,1339304.3200000003,1375444.7699999996,0.23998496173433995,36140.45000000001,0.1201923076923077,1.0,False,False,False
PRJ-0004,ENERGY,EUROPE,FR,3077768.0,4810246.53,49775.42,57648.99,3127543.42,4867895.53,1110.0,194,1304.0,TIER 3,3,1,1732478.5300000003,1740352.1100000003,0.35751632286981316,7873.57,0.17477477477477477,0.3333333333333333,False,False,True
PRJ-0005,INSTALL,OCEANIA,AU,1840692.0,2717168.94,401269.57,539258.65,2241961.57,3256427.59,322.0,21,343.0,TIER 3,3,1,876476.94,1014466.02,0.3115272770428775,137989.08000000002,0.06521739130434782,0.3333333333333333,False,False,True
PRJ-0006,INSTALL,NORTH AMERICA,MX,4834963.0,4542021.37,241885.65,309326.57,5076848.65,4851347.94,1281.0,157,1438.0,TIER 2,8,3,-292941.6299999999,-225500.70999999996,-0.04648207318644722,67440.92000000001,0.12256049960967993,0.375,False,True,True
PRJ-0007,SERVICE,SOUTH AMERICA,BR,1183340.0,1767652.72,127796.71,154868.27,1311136.71,1922520.99,640.0,101,741.0,TIER 3,0,0,584312.72,611384.28,0.3180117580926906,27071.559999999983,0.1578125,0.0,False,False,True
PRJ-0008,ENERGY,AFRICA,ZA,3422267.0,5621919.01,189469.47,281224.23,3611736.47,5903143.25,1689.0,238,1927.0,TIER 3,0,0,2199652.01,2291406.78,0.3881672327704397,91754.75999999998,0.1409117821195974,0.0,False,False,True
PRJ-0009,INSTALL,AFRICA,ZA,3222765.0,3968067.03,960154.5,1286838.94,4182919.5,5254905.97,78.0,3,81.0,TIER 3,9,5,745302.0299999998,1071986.4699999997,0.20399726962193385,326684.43999999994,0.038461538461538464,0.5555555555555556,False,False,False
PRJ-0010,INSTALL,OCEANIA,AU,2625810.0,2681351.24,340581.04,431005.8,2966391.04,3112357.04,1115.0,208,1323.0,TIER 3,1,0,55541.24000000022,145966.0,0.04689886093531223,90424.76000000001,0.18654708520179372,0.0,False,True,True
