Project_ID,Line_of_Business,Region,Country_Code,Forecast_Cost,Estimated_Sell_Price,Change_Order_Cost,Change_Order_Sell_Price,Final_Cost,Final_Sell_Price,Estimated_Duration_Days,Delays_Days,Final_Duration_Days,Tier,Risks_registered,Risks prevented
PRJ-0001,Service,Asia,JP,1212698,1574309.61,297629.43,393952.99,1510327.43,1968262.6,484,86,570,Tier 3,6,6
PRJ-0002,Install,Europe,DE,2170699,1342527.42,12281.61,15101.71,2182980.61,1357629.13,769,33,802,Tier 3,5,0
PRJ-0003,Service,Africa,ZA,3986668,5325972.32,369266.23,405406.68,4355934.23,5731379,416,50,466,Tier 3,2,2
PRJ-0004,Energy,Europe,FR,3077768,4810246.53,49775.42,57648.99,3127543.42,4867895.53,1110,194,1304,Tier 3,3,1
PRJ-0005,Install,Oceania,AU,1840692,2717168.94,401269.57,539258.65,2241961.57,3256427.59,322,21,343,Tier 3,3,1
PRJ-0006,Install,North America,MX,4834963,4542021.37,241885.65,309326.57,5076848.65,4851347.94,1281,157,1438,Tier 2,8,3
PRJ-0007,Service,South America,BR,1183340,1767652.72,127796.71,154868.27,1311136.71,1922520.99,640,101,741,Tier 3,0,0
PRJ-0008,Energy,Africa,ZA,3422267,5621919.01,189469.47,281224.23,3611736.47,5903143.25,1689,238,1927,Tier 3,0,0
PRJ-0009,Install,Africa,ZA,3222765,3968067.03,960154.5,1286838.94,4182919.5,5254905.97,78,3,81,Tier 3,9,5
PRJ-0010,Install,Oceania,AU,2625810,2681351.24,340581.04,431005.8,2966391.04,3112357.04,1115,208,1323,Tier 3,1,0
PRJ-0011,Service,South America,BR,1978857,1238165.8,419939.71,497686.58,2398796.71,1735852.38,1764,259,2023,Tier 3,10,2
PRJ-0012,Install,North America,MX,2911437,2334626.02,363249.35,459190.01,3274686.35,2793816.04,1593,119,1712,Tier 3,3,3
PRJ-0013,Energy,Oceania,AU,790598,1056247.8,95206.18,115774.56,885804.18,1172022.36,1120,146,1266,Tier 4,5,0
PRJ-0014,Service,North America,MX,1087747,1067570.73,83833.44,86596.14,1171580.44,1154166.87,904,86,990,Tier 3,4,1
PRJ-0015,Energy,Asia,CN,3777289,4595809.02,542734.04,544307.26,4320023.04,5140116.28,307,43,350,Tier 3,5,2
PRJ-0016,Install,Asia,JP,2752743,4819473.35,638040.46,866146.17,3390783.46,5685619.52,795,128,923,Tier 3,5,5
PRJ-0017,Install,Europe,FR,4528407,4549416.06,179697.15,253291.75,4708104.15,4802707.81,1123,84,1207,Tier 3,8,5
PRJ-0018,Service,Oceania,AU,2280450,2519491.72,46449.9,47724.9,2326899.9,2567216.62,1080,173,1253,Tier 3,0,0
PRJ-0019,Service,North America,MX,1481642,1483231.07,281155.03,302068.6,1762797.03,1785299.66,995,2,997,Tier 3,5,5
PRJ-0020,Service,Africa,EG,3320998,2838513.71,978974.21,1423183.71,4299972.21,4261697.41,1379,258,1637,Tier 3,6,5
PRJ-0021,Service,South America,BR,1802441,2718441.2,272041.82,371045.38,2074482.82,3089486.57,1028,19,1047,Tier 3,0,0
